Date,C36159_BSICG,C36159_BSICT,C36159_DOZ,C36159_FOR10K,C36159_MDLNSAH,C36159_MDLSAAH,C36159_MLNSAH,C36159_MLSAAH,C36159_MTURN,C36159_NMLNSAH,C36159_NMLSAAH,C36159_SC,C36159_SCBT,C36159_SCMT,C36159_SCSA,C36159_SCSABT,C36159_SCSAMT,C36159_SCSATT,C36159_SCTT,C36159_SP,C36159_SPBT,C36159_SPFS,C36159_SPMT,C36159_SPTT,C36159_STLR
7/31/2013,7.5,9.53,66,1.91,4278,4443,6323,6299,0.007,2186,2095,3839,1913,864,3580,1770,761,675,743,137600,56600,0.031,172800,364400,0.978550891
8/31/2013,7.81,9.15,67,2.35,4474,4673,6216,6446,0.0069,2152,2099,3848,1889,854,3488,1762,755,636,704,137700,57300,0.019,175700,367400,0.976685949
9/30/2013,7.81,8.11,70,2.25,4738,4911,6345,6729,0.006,1883,2109,3340,1764,704,3505,1806,745,631,539,137800,59900,0.0183,181100,376200,0.973793103
10/31/2013,7.5,6.32,74,2.35,5344,5188,7492,7145,0.0061,2470,2228,3372,1738,634,3435,1784,707,618,636,138000,63300,0.0208,183100,387400,0.967741935
11/30/2013,7.19,5.47,73,1.79,5808,5509,7380,7383,0.0046,2003,2198,2722,1553,488,3363,1766,673,597,428,136300,65200,0.018,187600,382800,0.958823529
12/31/2013,7.19,4.43,76,2.88,5756,5751,7083,7597,0.0051,1412,2094,2781,1483,568,3236,1706,649,567,456,136900,66400,0.0205,188200,376500,0.956521739
1/31/2014,7.81,3.87,88,2.22,5664,5902,7876,7856,0.0046,2202,2101,2623,1446,443,3208,1680,650,538,385,136300,66200,0.0271,189900,364300,0.954163457
2/28/2014,8.12,3.02,88,1.5,6224,6076,7908,7941,0.0052,2119,2058,2970,1649,566,3227,1688,651,532,463,138300,67300,0.0239,189600,386100,0.956904762
3/31/2014,7.5,2.17,80,1.96,6308,6227,8184,8075,0.0056,2136,2022,3231,1797,626,3222,1703,636,517,494,138100,67300,0.0204,192300,389400,0.955078181
4/30/2014,7.5,1.89,78,1.84,6405,6276,8823,8186,0.0061,2434,2056,3341,1769,753,3165,1708,641,502,557,139700,68300,0.0204,194700,399700,0.955455132
5/31/2014,7.5,1.7,81,1.64,6298,6217,8106,7983,0.0064,2105,1957,3418,1809,728,3042,1677,615,473,577,138800,69000,0.0231,195900,379000,0.956284153
6/30/2014,7.19,1.42,83,1.67,6077,6148,7818,7921,0.0069,1792,1905,3749,1954,762,3125,1703,634,496,629,139200,71600,0.0168,193900,379000,0.959104006
7/31/2014,7.5,1.23,87,2.22,6002,6143,8185,8014,0.0059,2178,1974,3245,1682,710,3096,1673,621,495,547,139800,72700,0.025,195200,374700,0.959819176
8/31/2014,7.5,1.04,86,1.52,5941,6120,7570,7880,0.0063,1828,1873,3538,1755,655,3176,1672,618,496,521,141000,69600,0.0201,196800,374300,0.954659662
9/30/2014,7.5,1.13,83,1.4,5867,5974,7514,7756,0.0055,1623,1788,3034,1584,650,3122,1628,622,497,484,142900,68500,0.0188,199100,371700,0.955848153
10/31/2014,7.5,1.32,83,1.62,5869,5771,7905,7672,0.0054,2019,1856,2980,1553,653,3106,1618,635,493,486,143100,66700,0.0181,197700,372600,0.953846154
11/30/2014,7.5,1.6,82,1.26,5947,5711,7468,7578,0.0044,1654,1921,2519,1393,459,3047,1582,649,503,373,142500,69400,0.0151,197500,372800,0.951612903
12/31/2014,8.12,1.79,83,1.38,5732,5732,7244,7523,0.0057,1437,1963,2992,1495,614,3100,1588,659,525,546,144300,72600,0.0197,199500,381700,0.956086715
1/31/2015,8.12,2.08,90,1.5,5466,5684,7129,7435,0.0045,1974,1950,2527,1407,426,3161,1610,645,558,411,142700,71400,0.0178,202900,387200,0.955411365
2/28/2015,7.81,2.45,84,1.18,5746,5609,7525,7427,0.0049,1952,1901,2750,1505,591,3180,1626,670,573,456,146400,71800,0.0178,206300,398300,0.960455947
3/31/2015,8.12,3.49,68,1.55,5586,5472,7648,7488,0.0066,2085,1907,3377,1642,763,3143,1589,679,582,677,149200,73100,0.0166,206400,393500,0.965577284
4/30/2015,7.5,4.15,69,1.28,5317,5239,7952,7294,0.0067,2264,1912,3406,1638,811,3147,1567,710,595,692,154900,78800,0.0159,205900,394100,0.968421053
5/31/2015,7.5,5.19,64,0.89,5078,5076,6846,6903,0.0072,1933,1842,3679,1735,858,3185,1564,710,630,804,159200,82400,0.0133,205500,397100,0.971287126
6/30/2015,7.5,5.38,67,0.89,5070,5085,6935,6941,0.008,1862,1913,3967,1742,924,3285,1575,732,662,859,161400,83600,0.0124,206700,402300,0.969373543
7/31/2015,7.5,5.85,63,1.18,5005,5130,7317,7119,0.0072,2243,2003,3737,1825,910,3389,1632,760,659,678,162700,84300,0.0145,208900,400100,0.972214279
8/31/2015,7.19,6.23,64,0.82,4898,5110,6605,7146,0.0064,1724,2000,3391,1654,803,3346,1622,767,635,641,161900,86500,0.0124,209400,397400,0.971428571
9/30/2015,7.19,6.04,69,1.01,4908,5215,7381,7338,0.0062,2263,2104,3272,1673,746,3310,1672,757,617,608,161200,86700,0.0089,211700,395800,0.969712518
10/31/2015,7.19,5.66,66,1.45,5788,5446,7453,7377,0.0066,2095,2062,3366,1609,712,3270,1635,732,649,715,163300,87600,0.0125,213500,415600,0.968699679
11/30/2015,6.88,5.28,69,0.89,5748,5374,7296,7337,0.0049,1666,1961,2584,1273,550,3282,1587,742,661,457,165300,87100,0.0097,216300,417900,0.965596735
12/31/2015,6.56,5.09,71.5,1.16,4835,5029,7038,7202,0.0063,1477,1950,2939,1396,782,3235,1527,782,620,494,168000,89300,0.0085,217500,415900,0.966266438
1/31/2016,6.88,4.72,82,1.25,4608,4812,6377,6822,0.0051,1826,1878,2608,1317,532,3202,1494,801,583,424,168400,91600,0.0088,218500,399100,0.962962963
2/29/2016,6.56,4.06,80,1.08,4834,4776,6742,6755,0.0054,1939,1929,2790,1420,602,3210,1525,787,588,524,169800,94200,0.0122,220100,413000,0.967741935
3/31/2016,6.88,3.58,69,1.35,4933,4848,7291,6870,0.0074,2404,2046,3653,1672,874,3278,1533,770,635,744,171400,96500,0.0131,221100,422700,0.96875
4/30/2016,6.88,3.4,65,1.01,5076,5183,7019,6983,0.0074,2224,1993,3584,1727,855,3303,1575,761,664,765,173200,99100,0.0103,223400,432800,0.973123262
5/31/2016,6.56,3.21,69,1.01,6048,5686,7883,7512,0.0072,2032,1982,3514,1630,915,3277,1570,773,650,724,175000,102000,0.008,224000,410900,0.972762646
6/30/2016,6.56,2.92,68,1.35,5871,5903,8316,7938,0.0075,2280,2066,3728,1745,961,3223,1572,771,642,786,175900,102500,0.008,225700,407800,0.971861181
7/31/2016,6.56,2.64,69,1.32,5739,5885,7551,7917,0.0068,1917,2076,3491,1736,856,3195,1573,770,612,660,176800,102400,0.0069,226300,406300,0.971428571
8/31/2016,6.56,2.36,72,1.49,5647,5856,7927,7875,0.0071,2222,2124,3576,1646,903,3257,1592,792,628,702,179100,104900,0.0109,227900,415400,0.970588235
9/30/2016,6.56,2.55,69,1.01,5638,5756,7396,7681,0.0064,2070,2095,3268,1540,851,3289,1596,806,626,595,181900,106700,0.0113,229700,418800,0.969899666
10/31/2016,6.56,2.74,69,0.84,5730,5616,7460,7502,0.0067,1934,2009,3313,1557,826,3308,1570,836,622,590,184500,109400,0.0094,228200,412000,0.96744186
11/30/2016,6.88,3.11,68,1.06,5790,5540,7728,7501,0.0063,1943,2061,3097,1447,685,3472,1589,878,691,625,186800,113000,0.0116,229100,426500,0.969899666
12/31/2016,6.56,3.3,73,0.91,5426,5523,6769,7356,0.0064,1461,2044,3141,1472,725,3500,1601,863,709,646,186800,114300,0.0124,228200,425000,0.967741935
1/31/2017,6.88,3.68,79,0.7,5310,5509,7033,7309,0.0052,1951,1936,2739,1392,647,3539,1616,899,726,451,188600,114000,0.0099,231600,426100,0.968263875
2/28/2017,6.88,3.96,76.5,0.6,5590,5499,7601,7569,0.0057,1953,1980,2866,1423,651,3367,1583,843,659,533,189000,114500,0.0091,232500,405400,0.969728066
3/31/2017,6.25,4.25,63,0.62,5607,5496,8191,7656,0.0079,2489,2149,3777,1772,943,3400,1595,867,658,766,190900,115700,0.0119,235300,412300,0.973592958
4/30/2017,6.25,4.34,64,0.46,5600,5465,7551,7478,0.007,2485,2258,3474,1667,890,3336,1587,812,638,642,190000,117400,0.0069,236100,417000,0.975257732
5/31/2017,6.25,4.53,63,0.46,5514,5392,7958,7370,0.0086,2503,2256,4062,1740,1075,3442,1615,848,633,770,190700,118600,0.0054,237600,427300,0.975493928
6/30/2017,5.62,4.62,63,0.41,5298,5354,7153,7237,0.0085,2192,2114,4046,1855,1081,3442,1620,859,619,793,191200,120900,0.003,239500,425400,0.97698598
7/31/2017,5.62,4.91,63,0.41,5263,5381,7046,7239,0.0068,1814,1992,3367,1627,841,3409,1604,843,624,653,193600,121300,0.0053,241200,427400,0.975
8/31/2017,5.62,5,62,0.72,5156,5384,7372,7338,0.0076,2150,2038,3585,1658,884,3314,1594,815,634,722,194700,121600,0.005,241900,423600,0.976470588
9/30/2017,5.62,5.57,63,0.5,5190,5302,6847,7136,0.0068,1958,1994,3196,1526,817,3229,1561,785,612,545,195600,124300,0.0044,241000,424400,0.972644377
